 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
    56   12.60       3.827       1.385       2.754      0.2931     -0.1196E-12  0.8513     -0.4383E-01  0.3104       0.000     -0.1666E-01   0.000      0.6722E-02  0.2283       0.000    
    57   12.60       3.933       1.385       2.752      0.2911      0.1203E-12  0.8478     -0.5256E-02  0.3088       0.000     -0.6396E-02   0.000      0.5666E-02  0.2317       0.000    
    58   12.60       4.038       1.385       2.750      0.2888       0.000      0.8445      0.3524E-02  0.3077       0.000     -0.3489E-02   0.000      0.4883E-02  0.2341       0.000    
    59   12.60       4.143       1.385       2.748      0.2863       0.000      0.8412      0.7606E-02  0.3067       0.000     -0.1972E-02   0.000      0.4253E-02  0.2361       0.000    
    60   12.60       4.245       1.385       2.741      0.2727      0.1279E-12  0.8379      0.9685E-02  0.3062       0.000     -0.1162E-02   0.000      0.3761E-02  0.2377       0.000    
    61   12.60       4.344       1.385       2.729      0.2687     -0.1292E-12  0.8346      0.1072E-01  0.3063       0.000     -0.7420E-03   0.000      0.3362E-02  0.2390       0.000    
    62   12.61       4.441       1.385       2.717      0.2645       0.000      0.8313      0.1139E-01  0.3064       0.000     -0.4125E-03   0.000      0.3017E-02  0.2402       0.000    
    63   12.61       4.538       1.385       2.705      0.2601       0.000      0.8279      0.1182E-01  0.3065       0.000     -0.1598E-03   0.000      0.2717E-02  0.2411       0.000    
    64   12.61       4.634       1.385       2.693      0.2554       0.000      0.8246      0.1208E-01  0.3066       0.000      0.3745E-04   0.000      0.2454E-02  0.2420       0.000    
    65   12.62       4.728       1.385       2.681      0.2506       0.000      0.8214      0.1223E-01  0.3067       0.000      0.1941E-03   0.000      0.2224E-02  0.2427       0.000    
    66   12.62       4.821       1.385       2.670      0.2456       0.000      0.8181      0.1230E-01  0.3068       0.000      0.3204E-03   0.000      0.2023E-02  0.2434       0.000    
    67   12.62       4.912       1.385       2.659      0.2404     -0.1407E-12  0.8149      0.1231E-01  0.3069       0.000      0.4235E-03   0.000      0.1845E-02  0.2440       0.000    
    68   12.62       5.001       1.385       2.648      0.2350      0.1434E-12  0.8118      0.1228E-01  0.3070       0.000      0.5084E-03   0.000      0.1689E-02  0.2445       0.000    
    69   12.63       5.089       1.385       2.637      0.2294       0.000      0.8087      0.1222E-01  0.3071       0.000      0.5790E-03   0.000      0.1551E-02  0.2449       0.000    
    70   12.63       5.175       1.385       2.626      0.2236     -0.1494E-12  0.8056      0.1213E-01  0.3071       0.000      0.6381E-03   0.000      0.1429E-02  0.2453       0.000    
    71   12.63       5.260       1.385       2.616      0.2177      0.1529E-12  0.8027      0.1203E-01  0.3072       0.000      0.6879E-03   0.000      0.1322E-02  0.2457       0.000    
    72   12.64       5.342       1.385       2.606      0.2117       0.000      0.7998      0.1192E-01  0.3073       0.000      0.7300E-03   0.000      0.1227E-02  0.2460       0.000    
    73   12.64       5.422       1.385       2.596      0.2055       0.000      0.7969      0.1180E-01  0.3074       0.000      0.7657E-03   0.000      0.1143E-02  0.2463       0.000    
    74   12.64       5.500       1.385       2.586      0.1991       0.000      0.7942      0.1167E-01  0.3074       0.000      0.7961E-03   0.000      0.1068E-02  0.2465       0.000    
    75   12.64       5.576       1.385       2.577      0.1926       0.000      0.7915      0.1155E-01  0.3075       0.000      0.8220E-03   0.000      0.1003E-02  0.2467       0.000    
    76   12.64       5.650       1.385       2.568      0.1860       0.000      0.7889      0.1142E-01  0.3076       0.000      0.8441E-03   0.000      0.9443E-03  0.2469       0.000    
