group,label,lambda_real,lambda_imag,zeta,freq_hz,lon_frac,lat_frac,oth_frac
18,phugoid,-0.023664739857866112,0.1867510968837203,0.12571278178731032,0.02972236019687754,0.08780052254670369,7.730864299894028e-06,0.9121917465884886
18,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
19,roll,-23.080081109237426,0.0,1.0,0.0,0.00396823591449469,0.9950673224740396,0.0009644416109236342
19,short-period,-0.5484685994074172,1.1557260946628298,0.4287370634935588,0.18393952082588114,0.7776920866000187,0.010420157725390636,0.21188775567400397
19,dutch-roll,-0.6215863888202613,1.03375840968944,0.5153070757179907,0.16452776086489107,0.01358450875137755,0.8786752465699856,0.10774024467782105
19,phugoid,-0.021771940604107667,0.1850926054413623,0.1168218769651757,0.029458403085750654,0.08690585821195866,7.788370840430684e-06,0.9130863534166938
19,spiral,-0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
20,roll,-22.62968173095138,0.0,1.0,0.0,0.0031356217924962946,0.9956397002740334,0.0012246779329812038
20,short-period,-0.7177569140075145,1.8004820442829519,0.37030702884412287,0.2865556172958326,0.8905328201658229,0.0048399943160615366,0.1046271855175014
20,dutch-roll,-0.83162598285393,1.1072132597053417,0.6005618785186911,0.1762184633389956,0.0024871880857942792,0.9316066442510585,0.06590616766228678
20,phugoid,-0.03326819877315873,0.1905353125188622,0.17200166735391778,0.030324636820936005,0.09103252100829534,7.825977898659605e-06,0.9089596530132998
20,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
21,roll,-22.717291008665217,0.0,1.0,0.0,0.0032478727185517664,0.9955288661562363,0.0012232611247178211
21,short-period,-0.7135875177719513,1.7814987396532684,0.37183445811979715,0.2835343305277992,0.8888759719118794,0.004994643292541393,0.1061293847949625
21,dutch-roll,-0.8245377834673102,1.1147206059511807,0.5946773361296755,0.17741329460352326,0.0026706114980030553,0.9322035447114889,0.06512584378964653
21,phugoid,-0.03243235154001447,0.19044271447962552,0.1678827070324824,0.030309899385270872,0.09082699241376824,7.480539530849741e-06,0.9091655270461945
21,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
22,roll,-22.8296824986149,0.0,1.0,0.0,0.003421893965412178,0.9953460142020939,0.0012320918319925192
22,short-period,-0.7089323516485304,1.7536257179208323,0.3747981853941267,0.27909820134017416,0.8864034261163498,0.00526512609922896,0.10833144778380117
22,dutch-roll,-0.8164096045511086,1.1262713435131926,0.5869029581243381,0.17925165158287468,0.0030029660013932286,0.9331239349731079,0.06387309902463571
22,phugoid,-0.031286945623771885,0.19026014819462803,0.1622636876914933,0.030280843058571597,0.09053507966200772,7.68309203947779e-06,0.9094572372454459
22,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
23,roll,-22.925665409278356,0.0,1.0,0.0,0.0035360696680680833,0.9952384186211519,0.0012255117102723328
23,short-period,-0.6983979555553896,1.7130806724841556,0.3775176426887921,0.2726452569410416,0.8822336739892388,0.005497818420015142,0.11226850759012422
23,dutch-roll,-0.8032213273240718,1.1301951288066723,0.5792972043265828,0.17987614140796326,0.0033333409679496204,0.9322727059557596,0.06439395307542775
23,phugoid,-0.030236892464698503,0.19002762094655962,0.15714153527735228,0.030243835197637955,0.09023513676863407,7.769780137175919e-06,0.9097570934507214
23,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
24,roll,-23.026627862192978,0.0,1.0,0.0,0.003616675400359088,0.9951743922963164,0.0012089323028107776
24,short-period,-0.6834500501397173,1.6600482954666171,0.38070253516330904,0.2642048919947873,0.8762465750068854,0.005718088342423499,0.11803533665006843
24,dutch-roll,-0.7852882423311164,1.128936449664832,0.5710356482353687,0.1796758164007727,0.0037317977752474433,0.9301101860782455,0.06615801614564568
24,phugoid,-0.029177506772409236,0.18971859253671958,0.15200644923162554,0.030194651798656085,0.08990555019897738,7.783280857306572e-06,0.9100866665196576
24,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
25,roll,-23.12106127250893,0.0,1.0,0.0,0.0036609969682041043,0.9951573523531665,0.0011816506781095908
25,short-period,-0.6644621177035251,1.594317757018477,0.3846958190507291,0.2537435518886739,0.8679533539007754,0.005979562639062157,0.12606708345954015
25,dutch-roll,-0.7634091201414638,1.1227610881951555,0.5622755615211958,0.17869297709749446,0.004211627585889849,0.9263819167711945,0.06940645564205722
25,phugoid,-0.02808199990360295,0.18936173364932557,0.14669387815173945,0.030137855942741053,0.08954606731790597,8.03509617751823e-06,0.9104458975854085
25,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
26,roll,-23.220245000404507,0.0,1.0,0.0,0.003664260162903268,0.9951918857392918,0.0011438540972788824
26,short-period,-0.6420927625029971,1.5165232238696962,0.38989068487545125,0.24136216739251914,0.8567897771324958,0.006282666064386373,0.13692755680249766
26,dutch-roll,-0.7369919742759794,1.111162928775395,0.5527342730530498,0.17684707269507174,0.004843010899957303,0.9208714804878928,0.07428550861129601
26,phugoid,-0.026894759912233217,0.18880942450564803,0.14102046062497622,0.03004995321240992,0.08911971686562443,7.93716464165875e-06,0.9108723459692258
26,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
27,roll,-23.312000796316266,0.0,1.0,0.0,0.003630271596917995,0.9952628493837421,0.0011068790188080329
27,short-period,-0.6172609438108161,1.427113154596352,0.3969820900782136,0.22713211290547763,0.841950152359879,0.006721290377964028,0.15132855726154126
27,dutch-roll,-0.707450367212172,1.0948449793832038,0.5427219195429662,0.17424999038818112,0.005740955112483509,0.9134395929806212,0.08081945190604785
27,phugoid,-0.02564762277816703,0.18815444049195384,0.1350625342774049,0.029945709268984322,0.0886506382571329,7.972617335903264e-06,0.911341389125023
27,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
28,roll,-23.405758478875164,0.0,1.0,0.0,0.0035613471924251117,0.9953862907595048,0.0010523620475321757
28,short-period,-0.5910682042508582,1.3282950410126528,0.406549012017664,0.21140472166161556,0.8224896726445599,0.007418532168465431,0.17009179518636655
28,dutch-roll,-0.6755076241029035,1.0741990137346524,0.5323391983685455,0.1709640829003087,0.007135531037505024,0.9035947486235084,0.0892697203381479
28,phugoid,-0.024289573153921728,0.1872128130015006,0.12866470810968086,0.029795844599327475,0.08806457477883486,7.906522938433403e-06,0.9119275186977187
28,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
29,roll,-23.500713731621538,0.0,1.0,0.0,0.0034641922627411024,0.9955531926822014,0.0009826150545136283
29,short-period,-0.5646348167377253,1.2210399643012746,0.41971861699238106,0.19433454603129927,0.7966612582914417,0.00887535710432462,0.19446338460363743
29,dutch-roll,-0.6420874714464022,1.050121759357638,0.5216548969468825,0.16713206885012588,0.009759777263488239,0.8904503340100878,0.09978988872559744
29,phugoid,-0.02275026874057918,0.18597896986303164,0.12142200255123448,0.029599472364840118,0.08736305027365487,8.409184155159341e-06,0.9126285405416824
29,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
30,roll,-23.048676610849554,0.0,1.0,0.0,0.002786299822462005,0.9960090637370538,0.0012046364399876945
30,short-period,-0.7149877792542761,1.7878333224636695,0.3713255111614844,0.2845425106944995,0.8896358280154083,0.004744037790388273,0.1056201341935874
30,dutch-roll,-0.82697528427272,1.1120249246014031,0.596742241901775,0.17698426359170552,0.002500081901238592,0.9321939184274823,0.06530599967041763
30,phugoid,-0.032687121421574684,0.19045397627044472,0.16915418410902125,0.030311691754947814,0.09088503375110495,7.525301865390882e-06,0.9091074409465234
30,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
31,roll,-23.124951131024428,0.0,1.0,0.0,0.0028728308046382794,0.9959265456337137,0.0012006235611468513
31,short-period,-0.7104883984655019,1.768532292146072,0.37278134020092935,0.2814706563126873,0.8878825413283098,0.004909556564401822,0.10720790210667024
31,dutch-roll,-0.8201366067899218,1.1183642144698767,0.5913649997493715,0.17799319290996546,0.0026897587118302245,0.9324627281725776,0.06484751311473007
31,phugoid,-0.03195161033112174,0.1903698124002924,0.16552445670901245,0.030298296658983332,0.09070507911704634,7.66502195954189e-06,0.9092872558604874
31,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
32,roll,-23.22553997443245,0.0,1.0,0.0,0.0030029555251058007,0.9957916622438501,0.0012053822305368549
32,short-period,-0.7056297369454573,1.7408850134133957,0.37564363271877377,0.2770704552393425,0.8852814426912172,0.005161001041117218,0.10955755626704483
32,dutch-roll,-0.8121995292166715,1.1276424693447644,0.5844454449781519,0.17946987303657033,0.0030011229941874465,0.9331759702400972,0.06382290676485192
32,phugoid,-0.030935181422163487,0.19016630197433848,0.1605637370541788,0.030265906968722025,0.09041906875922398,7.67729954991968e-06,0.9095732539407191
32,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
33,roll,-23.308724070266035,0.0,1.0,0.0,0.003090098270168595,0.9957126636694883,0.0011972380598302863
33,short-period,-0.6959091190211849,1.7030045897117088,0.3782721443176331,0.27104159856080356,0.881317629623668,0.005384440236648646,0.113297930139061
33,dutch-roll,-0.8002528673999108,1.1307379465836949,0.577687289121764,0.17996253354037456,0.003301962225491222,0.9322946202668538,0.06440341750679188
33,phugoid,-0.030006379094806766,0.18997819587400636,0.15601239793687413,0.03023596895302843,0.09016251085113779,7.791394497228974e-06,0.9098296977538576
33,spiral,-0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
34,roll,-23.405829320237817,0.0,1.0,0.0,0.0031505696888019436,0.9956602908032391,0.0011891395074405333
34,short-period,-0.6826760148035143,1.6549175920056618,0.38134166763517363,0.2633883151774376,0.8758045127608323,0.005605038418590378,0.11859044881995426
34,dutch-roll,-0.7845237223564212,1.129286396784724,0.5705415476321671,0.17973151221472428,0.0036392098528081184,0.9303284506731947,0.06603233947313539
34,phugoid,-0.029046969658995846,0.1896953844724234,0.15136009045553783,0.030190958120503753,0.08986405925116035,7.833076583372264e-06,0.9101281076717487
34,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
35,roll,-23.486701885940064,0.0,1.0,0.0,0.003188304038672697,0.9956473044394615,0.0011643915213420063
35,short-period,-0.6660223312745738,1.5964255953454984,0.3850315818565784,0.2540790247776579,0.8683867775471045,0.005865976556993996,0.12574724589527894
35,dutch-roll,-0.7650404807879249,1.1240560090398928,0.5626531559878349,0.17889907015084713,0.004059561665557336,0.927050317961609,0.06889012037197453
35,phugoid,-0.028068435622464215,0.1893369089128264,0.14664335633255307,0.030133904963216256,0.08953349818302878,8.076206145313426e-06,0.910458425610318
35,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
36,roll,-23.58134494779753,0.0,1.0,0.0,0.003195132474001807,0.99567479974165,0.0011300677838188913
36,short-period,-0.6464183490882826,1.5278302887205084,0.3896546191581465,0.24316174265538654,0.8587019045348528,0.006155458312294415,0.13514263715223185
36,dutch-roll,-0.7418560336737419,1.1141360275851253,0.5542339323121804,0.17732025606694096,0.004578179317813217,0.9223428942850854,0.07307892639624607
36,phugoid,-0.027051218257463726,0.18890220496564972,0.1417561248654791,0.030064719681241532,0.08917327496959639,8.083325943873792e-06,0.9108186417039517
36,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
37,roll,-23.65781666185388,0.0,1.0,0.0,0.0031760714370512835,0.9957253168578352,0.0010986117045789971
37,short-period,-0.62461855891729,1.4499441002725468,0.39563845703508393,0.23076577076530658,0.8461766796062883,0.006518446784558294,0.14730487360853617
37,dutch-roll,-0.7162120763231671,1.100506104670809,0.5454610708442396,0.175150986461166,0.00526274218701754,0.9161723498452758,0.07856490796685672
37,phugoid,-0.025941216632729462,0.18829078489886825,0.1364828866361473,0.029967409155307684,0.08874746981269967,8.137124521283831e-06,0.9112443930622709
37,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
38,roll,-23.746894334870984,0.0,1.0,0.0,0.003129994549532391,0.9958197317121525,0.0010502737377751333
38,short-period,-0.6014551121562091,1.364035155347714,0.4034576491243395,0.21709293752471004,0.830086795648998,0.00710748269508352,0.16280572165530705
38,dutch-roll,-0.688015826369944,1.08306396791999,0.5362059497585973,0.17237498417918837,0.006293008422579118,0.9081052893062511,0.08560170227032701
38,phugoid,-0.024757866573187053,0.18751289591308848,0.13089686207156445,0.02984360427804409,0.08824967067049273,8.190995736750423e-06,0.9117421383332626
38,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
39,roll,-23.826539034938932,0.0,1.0,0.0,0.0030638835230849273,0.9959382302806736,0.000997886195696205
39,short-period,-0.5777669414955585,1.2708754169291467,0.4138601108434845,0.20226610465824713,0.8094745669942698,0.008081142485640524,0.18244429051948713
39,dutch-roll,-0.6586786541450039,1.0627348025196421,0.5268143406919433,0.1691394970167903,0.007944641792369608,0.8979615143519813,0.09409384385481558
39,phugoid,-0.023460776215604082,0.18656087434313556,0.1247712990733797,0.029692085339255977,0.08767350042619197,8.1332376399681e-06,0.9123183663356603
39,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
40,roll,-23.386055671897246,0.0,1.0,0.0,0.0025017035969557215,0.9963203253525634,0.001177971049978579
40,short-period,-0.7124961075245274,1.7765619429715547,0.3722333247004491,0.2827486149328648,0.8887572908175669,0.00469638563294758,0.10654632354886802
40,dutch-roll,-0.8231130373423391,1.1158041625821224,0.5936390561043692,0.17758574799745763,0.0025647669655942764,0.9325080458572544,0.06492718717628926
40,phugoid,-0.03222091365628406,0.19039266920266595,0.16686140388360343,0.030301934432064356,0.09076945625525246,7.65606891871325e-06,0.9092228876753223
40,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
41,roll,-23.45053002085244,0.0,1.0,0.0,0.002569861025177781,0.996239481084707,0.0011906578896089734
41,short-period,-0.707929177754458,1.7573875449173255,0.3736528631466695,0.2796969147017226,0.8869738392301427,0.004848664709966096,0.10817749605927195
41,dutch-roll,-0.8168515669785402,1.1211236653919576,0.5888735104908368,0.17843237316443414,0.002743338554967941,0.9327232953083932,0.06453336613577641
41,phugoid,-0.0315480660703362,0.1903047173469035,0.163544560035852,0.030287936459465654,0.09060295093280495,7.659881633309222e-06,0.909389389185055
41,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
42,roll,-23.539391890541854,0.0,1.0,0.0,0.002669469244366794,0.9961386852610433,0.0011918454940779628
42,short-period,-0.7029871234198398,1.730138070527462,0.3764315260074884,0.2753600261559198,0.8842971711116115,0.005099093984308963,0.11060373490345811
42,dutch-roll,-0.8092162415475023,1.1286158935524866,0.5826972568065821,0.17962479831095463,0.003031178496555911,0.9331510807222738,0.06381774078030678
42,phugoid,-0.03065038952696909,0.1901477962224213,0.15913826469244413,0.030262961686828776,0.09034788235634607,7.944348479789022e-06,0.909644173294667
42,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
43,roll,-23.62084237631111,0.0,1.0,0.0,0.002737151977777108,0.9960809433608889,0.001181904660817008
43,short-period,-0.6940278621255672,1.6947593651171138,0.37896830414507165,0.26972933030967094,0.8805347424923368,0.005315071276069322,0.11415018623097117
43,dutch-roll,-0.7980169611321879,1.1310684591012554,0.5764978848308528,0.18001513624129806,0.0033151305636460455,0.9322371579900051,0.06444771144548564
43,phugoid,-0.029810285443967067,0.18990808492595143,0.1550732794555589,0.030224810449080628,0.09008871242107779,7.849710019448147e-06,0.9099034378683953
43,spiral,-0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
